University,Department,Overall Pay,LW Ratio,Academic Year,Program Year,12 M Gross Pay,9 M Gross Pay,3 M Gross Pay,Fees,Comments
University of California - Irvine (UCI),Cognitive Sciences,"$28,800",0.99,2020-2021,2nd,"$28,800",,,,
University of Nebraska - Lincoln (NU),Music,$860,0.04,2020-2021,3rd,,$860,,,
Harvard University (HU),Harvard Business School,"$43,860",1.53,2020-2021,5th,"$43,860",,,,Full health coverage
University of Florida (UF),Microbiology and Cell Science,"$29,500",1.30,2020-2021,2nd,"$31,000",,,"$1,500",
Northeastern University (NU),Political Science,"$23,500",0.82,2020-2021,2nd,,"$22,500","$1,500",$500,
San Diego State University (SDSU),MSc Geography,"$10,000",0.38,2019-2020,1st,,"$10,000",,,
Yale University (YU),Earth and Planetary Sciences,"$36,000",1.46,2020-2021,6th and up,"$36,000",,,,
University of Florida (UF),Soil and water Science,"$21,333",0.94,2021-2022,1st,"$21,333",,,,
Illinois State University (ISU),English,"$13,666",0.61,2020-2021,5th,,"$15,606",,"$1,940",
Marquette University,Theology,"$20,000",0.93,2020-2021,4th,,"$20,000",,,Additional $750 total (paid out in two installments) in lieu of health insurance. 
University of Michigan - Ann Arbor (UM),Sociology,"$26,433",1.15,2020-2021,5th,,"$22,433","$4,000",,Students get summer funding up to the 5th year. 
University of Texas Health Science Center - Houston,Neurobiology ,"$32,000",1.46,2020-2021,3rd,"$32,000",,,,Medical insurance covered
Stanford University (SU),Chemistry,"$48,500",1.69,2020-2021,1st,"$50,000",,,"$1,500",Fellowship
University of Wisconsin - Madison (UW),Chemistry,"$25,800",1.13,2020-2021,2nd,"$28,000",,,"$2,200",
University of Denver (DU),Molecular and Cellular Biophysics,"$24,000",1.07,2020-2021,4th,"$24,000",,,,
