University,Department,Overall Pay,LW Ratio,Academic Year,Program Year,12 M Gross Pay,9 M Gross Pay,3 M Gross Pay,Fees,Comments
University of Massachusetts - Amherst (UMass),MCB,"$24,655",1.08,2016-2017,,"$25,355",,,$700,
Weill Cornell Graduate School of Medical Sciences,BCMB,"$36,436",,2016-2017,,"$36,436",,,,
University of Cincinnati (UC),Classics,"$20,000",1.04,2015-2016,2nd,,"$18,000","$2,000",,"Liveable, if save up for summer."
University of Connecticut (UConn),Communication ,"$22,722",0.93,2016-2017,1st,,"$22,722",,,
University of Oklahoma (OU),Communication ,"$16,300",0.81,2016-2017,1st,,"$16,300",,,
Pennsylvania State University (Penn State),Communication Arts & Sciences,"$21,765",0.97,2016-2017,1st,,"$19,350","$2,415",,"Health insurance, research grants, two fully funded conferences per year, tuition waver."
University of Pennsylvania,CAMB,"$31,000",1.29,2016-2017,,"$31,000",,,,
University of Miami (UM),Philosophy,"$20,000",0.84,2016-2017,1st,,"$20,000",,,
University of Chicago (UC),Neurobiology,"$30,500",1.26,2016-2017,,"$30,500",,,,
Northwestern University (NU),Driskill Graduate Program,"$30,500",1.26,2016-2017,1st,"$30,500",,,,"Moving allowance $1000, computer allowance $999, health insurance"
University of Chicago (UC),Neurobiology,"$30,500",1.26,2016-2017,,"$30,500",,,,
West Virginia University (WVU),Sociology PhD,"$16,000",0.72,2016-2017,1st,,"$16,000",,,Tuition waived
University of Chicago (UC),Molecular Biosciences,"$30,500",1.26,2016-2017,1st,"$30,500",,,,"additional $4,400 in health insurance and a $750 one time payment for moving my life to chicago"
University of Oregon (UO),Political Science,"$10,984",0.52,2016-2017,1st,,"$10,984",,,
University of Pittsburgh,Political Science,"$21,692",1.05,2016-2017,1st,"$21,692",,,,
Emory University,Political Science,"$22,000",0.94,2016-2017,1st,"$22,000",,,,
University of Notre Dame (ND),Political Science,"$26,000",1.27,2016-2017,1st,"$26,000",,,,
Washington University in St. Louis (Wash U),Political Science,"$27,200",1.32,2016-2017,1st,"$27,200",,,,
Vanderbilt University,Political Science,"$26,000",1.13,2016-2017,1st,"$26,000",,,,
University of Rochester (UR),Political Science,"$25,000",1.17,2016-2017,1st,"$25,000",,,,
University of North Carolina - Chapel Hill (UNC),Communication,"$15,700",0.71,2016-2017,1st,,"$15,700",,,no conference funding
University of Michigan - Ann Arbor (UM),english,"$28,000",1.21,2016-2017,,,"$23,000","$5,000",,"Fellowship years 1 and 4, TAship rest of the years"
University of Tennessee - Knoxville,History,"$15,510",0.73,2016-2017,1st,"$17,500",,,"$1,990","Awarded Klein Fellowship of $15,000, and Chancellors Fellowship of $2,000,  with five years of full funding. Klein funding split up over 5 years, Chancellors funding provided over 4 years, for a total of 17,500 over 4 years, and 15,100 in the 5th year. "
University of Notre Dame (ND),Theology,"$19,000",0.93,2015-2016,1st,"$19,000",,,,
Ohio State University (OSU),History of Art,"$18,600",0.93,2016-2017,,"$18,600",,,,Offered approximately $1550 a month for 4+ years including summer months.
University of Michigan - Ann Arbor (UM),"Ecology, Evolutionary Biology, and Behavior","$26,350",1.14,2016-2017,1st,"$26,350",,,,Said to increase in July?
Washington State University (WSU),History,"$12,000",0.63,2016-2017,1st,,"$14,000",,"$2,000",Full funding for 4 years. 
Duke University (DU),Political Science,"$28,000",1.26,2016-2017,1st,,"$23,000","$5,000",,Fellowship. No TA/RA requirement. All fees and tuition covered. Also 3k worth of insurance. 
Brown University,Anthropology,"$25,400",1.12,2016-2017,4th,,"$23,000","$2,500",$100,
University of California - Berkeley,Chemistry,"$31,000",1.12,2016-2017,1st,"$31,000",,,,
University of California - Irvine (UCI),History,"$20,050",0.69,2016-2017,1st,"$20,050",,,,"Full fellowship (1st and 5th years), all fees and tuition waved, subedized housing and healthcare "
Stanford University (SU),Religious Studies,"$34,864",1.21,2016-2017,1st,,"$27,864","$7,000",,"5 years funding, 3 years of summer support at $7K."
CUNY Graduate School and University Center,Art History,"$25,000",0.84,2016-2017,1st,"$25,000",,,,$25k every year for 5 years
Duke University (DU),Molecular Genetics and Microbiology,"$30,300",1.36,2016-2017,1st,"$30,300",,,,
University of California - San Francisco (UCSF),Biomedical Sciences,"$36,000",1.20,2016-2017,1st,"$36,000",,,,"$4,000 bonus for first/last month's rent or moving."
Boston College (BC),Bible,"$21,900",0.78,2016-2017,1st,,"$21,900",,,
University of Chicago (UC),Chemistry,"$31,500",1.30,2016-2017,1st,"$31,500",,,,
University of California - Los Angeles (UCLA),Political Science,"$24,000",0.93,2016-2017,,,"$20,000","$4,000",,
University of California - San Diego (UCSD),Political Science,"$22,300",0.84,2016-2017,,,"$23,000",,$700,
Ohio State University (OSU),School psychology,"$23,794",1.19,2016-2017,1st,"$24,852",,,"$1,058",One Year Fellowship + Scholarship 
Duke University (DU),Religious Studies,"$34,000",1.53,2016-2017,1st,"$34,000",,,,"I was awarded the Deans Graduate Fellowship. Kind of wonky, but it  gives you 34,000 for the first two years period. It is supposed to be a combination of the base stipend (about 22,500/5yrs) + guaranteed summer fellowship for first 2 years (about 5,500) + DGF fellowship supplement (lasts for 4yrs). During years 3-4 I will go back to the base stipend (it will have increased marginally) and then get a 5,500 supplement through the DGF. Students are responsible for their own summer funding in years 3+. The base stipend expires after yr 5. "
Indiana University,History,"$21,435",0.99,2016-2017,2nd,"$21,435",,,,i have a fellowship that covers all of my fees.
Southern Methodist University (SMU),History,"$20,000",0.93,2015-2016,1st,"$20,000",,,,"Tuition and fees paid, plus stipend for five years.  No teaching first two years.  Additional money given to cover health insurance.  Salary is paid over 10 months."
Southern Methodist University (SMU),History,"$2,222",0.10,2015-2016,1st,,"$2,222",,,"Tuition and fees paid, plus stipend for five years.  No teaching first two years.  Additional money given to cover health insurance.  Salary is actually $20K paid over 10 months."
Yale University (YU),Political Science,"$29,650",1.20,2016-2017,1st,"$29,650",,,,
Princeton University,Politics,"$31,400",1.24,2016-2017,1st,"$31,400",,,,
University of Michigan - Ann Arbor (UM),Political Science,"$22,350",0.97,2016-2017,1st,"$22,350",,,,
University of Wisconsin - Madison (UW),Political Science,"$20,000",0.88,2016-2017,1st,,"$20,000",,,
University of North Carolina - Chapel Hill (UNC),Political Science,"$18,100",0.81,2016-2017,1st,,"$17,000","$3,000","$1,900",
Vanderbilt University,Political Science,"$26,000",1.13,2016-2017,1st,"$26,000",,,,
University of Washington (UW),Immunology,"$30,320",1.30,2016-2017,,"$31,320",,,"$1,000","Fee's are 325/regular quarter, less in the summer.  Rounded to $1000 for the full year..

Like everybody else, full medical, dental, etc."
University of Pennsylvania,Communication,"$29,000",1.20,2016-2017,1st,"$29,000",,,,
University of Virginia (UVA),Religious Studies,"$24,000",1.05,2016-2017,,,"$20,000","$4,000",,
Princeton University,chemistry,"$31,000",1.22,2016-2017,,"$31,000",,,,
Michigan State University (MSU),history,"$21,000",1.02,2016-2017,1st,,"$13,500","$7,500",,
Princeton University,Politics,"$31,000",1.22,2016-2017,1st,"$31,000",,,,
Albert Einstein College of Medicine,PhD in Biomedical Sciences,"$33,000",,2016-2017,3rd,"$33,000",,,,"Students have guaranteed subsidized housing on campus. Rent is
$430 for a 3-person share and $720 for a studio and includes utilities and Internet. "
University of Chicago (UC),Comparative Literature,"$27,000",1.11,2016-2017,1st,"$27,000",,,,
University of California - Los Angeles (UCLA),Chemistry & Biochemistry,"$30,500",1.18,2016-2017,1st,"$30,500",,,,
University of Cincinnati (UC),Molecular Physiology ,"$30,000",1.55,2016-2017,1st,"$30,000",,,,All health insurance covered
University of California - San Francisco (UCSF),Biomedical Sciences (BMS),"$36,000",1.20,2016-2017,1st,"$36,000",,,,
University at Albany - SUNY,Sociology,"$16,320",0.72,2016-2017,4th,,"$16,320",,,
Brown University,History,"$26,233",1.15,2015-2016,1st,,"$23,700","$2,633",$100,
University of Arizona (U of A),Philosophy,"$15,733",0.76,2016-2017,1st,"$15,733",,,,
Brown University,Philosophy,"$27,111",1.19,2016-2017,1st,,"$24,400","$2,711",,
University of Virginia (UVA),BIMS,"$28,500",1.25,2016-2017,,"$28,500",,,,Health/Dental included
University of Illinois - Urbana- Champaign (UIUC),Political science ,"$20,000",0.91,2016-2017,1st,,"$18,000","$2,000",,
Florida State University (FSU),Religion,"$12,350",0.53,2016-2017,1st,,"$13,350",,"$1,000",Summer funding is likely but not guaranteed. Health insurance apprx. 75% subsidized. Required fees could be abolished soon if legislature passes.
Boston University,Sociology,"$21,500",,2016-2017,2nd,,"$21,500",,,
Utah State University (USU),,"$34,000",1.64,2015-2016,4th,"$34,000",,,,
New York University (NYU),Middle Eastern & Islamic Studies,"$26,855",0.90,2016-2017,1st,"$26,855",,,,"No summer funding but the student gets paid to TA up to 13,000 for 3 semesters of TAing"
University of Pennsylvania,Religious Studies,"$31,100",1.29,2016-2017,1st,,"$26,700","$4,400",,It is 26700 over 10mo and 4400 for summer for 3 years.
Utah State University (USU),Psychology,"$13,827",0.67,2016-2017,5th,"$15,000",,,"$1,173",Required fees includes student health insurance and student body fees that are not covered by the student stipend (refereed to as USU Resident Grad Tuition). 
University of North Carolina - Chapel Hill (UNC),BBSP,"$29,000",1.30,2016-2017,1st,"$29,000",,,,
Temple University (TU),Physics,"$20,085",0.83,2016-2017,,,"$18,285","$2,000",$200,Summer pay is around 2k/month
Scripps Research Institute (SRI),Chemistry,"$30,000",1.13,2016-2017,1st,"$30,000",,,,
,,"$30,000",,2016-2017,1st,"$30,000",,,,
Johns Hopkins University (JHU),Education,"$30,000",1.17,2016-2017,,"$30,000",,,,
University of Florida (UF),Biology,"$11,925",0.52,2016-2017,1st,,"$12,600",,$675,
University of Illinois - Urbana- Champaign (UIUC),Neuroscience PhD,"$22,000",1.00,2016-2017,1st,"$23,000",,,"$1,000",
Cornell University (CU),Neuroscience PhD,"$36,000",1.48,2016-2017,1st,"$36,000",,,,
Drexel University (DU),Chemistry,"$21,000",0.87,2016-2017,5th,"$21,000",,,,Full health insurance; gym access
Rice University,Sociology,"$26,150",1.20,2016-2017,2nd,"$27,500",,,"$1,350",Fees include health insurance
University of Notre Dame (ND),Sociology,"$22,500",1.10,2016-2017,,"$22,500",,,,
University of Florida (UF),Sociology,"$15,000",0.66,2016-2017,1st,,"$15,000",,,
University of Illinois - Urbana- Champaign (UIUC),Physics,"$22,156",1.01,2015-2016,5th,"$23,210",,,"$1,054",
University of Tennessee Health Science Center,Pharmaceutical Sciences,"$22,650",1.01,2015-2016,1st,"$23,500",,,$850,Tuition waiver and health insurance
University of Tennessee Health Science Center,Biomedical Sciences,"$24,150",1.08,2015-2016,1st,"$25,000",,,$850,Tuition waiver and health insurance
University of Chicago (UC),Molecular Engineering,"$41,000",1.69,2016-2017,,"$41,000",,,,37k base + 4k fellowship
Stanford University (SU),Materials Science and Engineering,"$35,000",1.22,2016-2017,1st,"$35,000",,,,
Princeton University,Electrical engineering,"$35,500",1.40,2016-2017,1st,,"$27,500","$8,000",,
Icahn School of Medicine at Mount Sinai,Medical Scientist Training Program,"$34,000",,2016-2017,3rd,"$34,000",,,,
University of Southern California (USC),Comparative Studies in Literature and Culture,"$26,000",1.00,2015-2016,1st,,"$26,000",,,
Ohio State University (OSU),CSE,"$22,320",1.11,2016-2017,3rd,"$23,640",,,"$1,320",RA
Michigan State University (MSU),Cognition and cognitive neuroscience,"$20,640",1.01,2016-2017,1st,"$20,640",,,,
McGill,Neuroscience,"$16,000",,2015-2016,1st,"$20,000",,,"$4,000",
Michigan State University (MSU),Electrical & Computer Engineering,"$42,500",2.30,2014-2015,4th,"$42,500",,,,"Includes $5,500 for consulting job. All tuition, fees and health insurance covered."
Washington University in St. Louis (Wash U),Computer Science & Engineering,"$38,970",1.89,2015-2016,5th,"$39,000",,,$30,"Tuition of about $23,650 and a health/wellness fee of $160 is also provided each semester (for an annual total of $71,430).  Health insurance fees of about $1,512 are covered for the student, spouses/dependents would come out of gross pay."
Southern Methodist University (SMU),Biostatistics,"$28,000",1.30,2015-2016,1st,"$28,000",,,,
University of Cincinnati (UC),Pathobiology and Molecular Medicine,"$29,700",1.54,2016-2017,3rd,"$29,700",,,,"Starts at 25K, 27k after qualifying, bonus from grant funding. "
University of Maryland - College Park (UMD),Neuroscience and Cognitive Science,"$15,500",0.56,2013-2014,4th,,"$16,400",,$900,
University of Rochester (UR),Mechanical Engineering,"$27,000",1.26,2016-2017,1st,"$30,000",,,"$3,000",
Cornell University (CU),History,"$30,452",1.26,2016-2017,1st,,"$25,152","$5,300",,
Massachusetts Institute of Technology (MIT),MechE,"$33,973",1.22,2016-2017,5th,"$33,973",,,,
Tulane University (TU),Biochemistry,"$26,000",1.13,2015-2016,5th,"$26,000",,,,
University of Arkansas - Fayetteville,Business Administration - Management,"$39,400",1.97,2016-2017,1st,"$39,400",,,,DDF fellowship of 22K + Business School GA of 17.4K
Yale University (YU),Chemical Engineering,"$39,663",1.80,2014-2015,2nd,"$39,663",,,,
Yale University (YU),Chemical Engineering,"$36,051",1.46,2015-2016,3rd,"$36,051",,,,
Pennsylvania State University (Penn State),Business Administration,"$20,300",0.90,2016-2017,2nd,,"$20,300",,,
University of Hawaii - Manoa (UH),Cell and Molecular Biology,"$24,550",0.91,2014-2015,,"$25,000",,,$450,
University of Illinois - Chicago (UIC),MSTP,"$29,000",1.20,2016-2017,5th,"$29,000",,,,
University of California - Davis (UCD),Psychology,"$20,400",0.85,2015-2016,3rd,"$21,000",,,$600,
Washington State University (WSU),Political Science,"$13,000",0.69,2015-2016,3rd,,"$14,000",,"$1,000",
University of California - Berkeley,Math,"$24,000",0.86,2015-2016,2nd,,"$24,000",,,
University of Illinois - Urbana- Champaign (UIUC),History,"$19,400",0.88,2016-2017,6th and up,,"$20,000",,$600,"Semester Fees vary between 480 and 750.  I have  a fellowship; TAs in history are paid about 16,666/ninth months"
Boston University (BU),GMS PiBS,"$31,000",1.08,2016-2017,2nd,"$31,000",,,,
University of Arkansas - Fayetteville,accounting PhD,"$26,768",1.34,2016-2017,2nd,"$27,600",,,$832,
University of Wisconsin - Madison (UW),Biochemistry,"$26,000",1.14,2016-2017,3rd,"$26,000",,,,
Lehigh University,BioS,"$23,000",1.03,2016-2017,2nd,"$23,000",,,,
University of Tulsa (TU),Chemical Engineering,"$13,800",0.70,2015-2016,,,"$13,950",,$150,Summer funding at advisor's discretion
Auburn University (AU),Chemical Engineering,"$23,070",1.07,2016-2017,4th,"$24,000",,,$930,You pay for insurance 930/semester
Northeastern University (NU),Biology,"$30,900",1.17,2013-2014,,"$30,900",,,,
Bucknell University,Chemistry,"$12,600",,2015-2016,2nd,"$12,600",,,,
University of North Carolina - Chapel Hill (UNC),Genetics,"$29,100",1.31,2016-2017,3rd,"$30,000",,,$900,
University of California - San Diego (UCSD),Bioengineering,"$30,000",1.13,2016-2017,6th and up,"$30,000",,,,No incentives for bringing in outside funding (i.e. NSF GRF)
Cornell University (CU),Ecology and Evolutionary Biology,"$27,700",1.30,2012-2013,,"$27,700",,,,
Yale University (YU),Chemistry,"$32,000",1.29,2016-2017,2nd,"$32,000",,,,Full health care coverage and gym membership included.
Free university  of Bozen-Bolzano,Faculty of Computer Science,"$18,774",,2015-2016,3rd,"$18,924",,,$150,
Georgia Institute of Technology (Georgia Tech),Industrial and Systems Engineering,"$21,869",0.94,2016-2017,1st,,"$24,600",,"$2,731",
Mississippi State University (MSU),Psychology,"$10,500",0.48,2015-2016,,,"$12,000",,"$1,500",
University of California - Berkeley,Sociology,"$22,000",0.79,2016-2017,6th and up,"$24,000",,,"$2,000",
Georgia Institute of Technology (Georgia Tech),School of IC,"$22,572",0.97,2015-2016,1st,"$25,572",,,"$3,000",
Stanford University (SU),Plant Biology,"$32,000",1.11,2016-2017,,"$32,000",,,,
University of North Carolina - Chapel Hill (UNC),epidemiology,$500,0.03,2011-2012,4th,"$2,000",,,"$1,500",
Georgia Institute of Technology (Georgia Tech),Chemistry,"$24,000",1.03,2016-2017,1st,"$26,000",,,"$2,000",
Ohio State University (OSU),Chemistry,"$24,480",1.22,2015-2016,1st,"$24,480",,,,
Ohio State University (OSU),Chemistry,"$27,600",1.38,2016-2017,1st,"$27,600",,,,
Tufts University (TU),Engineering ,"$29,000",1.04,2016-2017,1st,,"$25,000","$4,000",,
Essec ,Finance,"$1,550",,2015-2016,2nd,"$1,550",,,,
Georgia Institute of Technology (Georgia Tech),Physics,"$19,800",0.85,2015-2016,1st,"$21,000",,,"$1,200",
University of North Carolina - Chapel Hill (UNC),Biomedical Engineering ,"$20,050",0.90,2016-2017,2nd,"$22,000",,,"$1,950",
University of Alberta,Laboratory Medicine and Pathology,"$16,500",,2014-2015,1st,"$17,500",,,"$1,000",
Boston University (BU),Mechanical Engineering,"$33,000",1.15,2015-2016,4th,"$33,000",,,,
Stanford University (SU),Geological Sciences,"$36,000",1.25,2016-2017,2nd,"$36,000",,,,
Georgia Institute of Technology (Georgia Tech),Psychology,"$13,000",0.56,2016-2017,,,"$16,000",,"$3,000",
Columbia University (CU),History,"$30,760",1.03,2016-2017,1st,,"$27,260","$3,500",,
Dalhousie Univerity,Biomedical Engineering,"$15,000",,2015-2016,3rd,"$25,000",,,"$10,000",
New York University (NYU),Chemistry,"$38,600",1.30,2016-2017,1st,"$38,600",,,,
Indiana University,Operations Management- Kelley ,"$27,000",1.25,2016-2017,1st,"$27,000",,,,
Vanderbilt University,Hearing and Speech Sciences,"$17,500",0.88,2012-2013,1st,"$18,000",,,$500,
Pennsylvania State University (Penn State) Hershey,BMS - Biochemistry ,"$28,500",,2016-2017,1st,"$28,500",,,,Health insursnce $675 a year. On campus housing shared 1 bedroom $540. Single bedroom $910.
University of Pennsylvania,Social Policy and Practice,"$25,000",1.04,2016-2017,,,"$25,000",,,
Georgetown University,Linguistics/Sociolinguistics,"$26,000",0.84,2016-2017,1st,"$26,000",,,,
Brandeis University,History,"$30,600",1.10,2016-2017,1st,,"$27,600","$3,000",,
rutgers,sciense,"$32,000",,2016-2017,1st,"$32,000",,,,
University of California - Irvine (UCI),"Criminology, Law and Society","$22,879",0.78,2016-2017,1st,,"$19,279","$3,600",,
University of Oklahoma (OU),ECE,"$1,650",0.08,2016-2017,1st,"$1,650",,,,
University of Michigan - Ann Arbor (UM),History,"$27,000",1.17,2016-2017,1st,,"$22,000","$5,000",,
University of Chicago (UC),History,"$27,000",1.11,2016-2017,1st,,"$24,000","$3,000",,
University of Florida (UF),Graduate Education/Interdisciplinary Program in Biomedical Sciences,"$26,027",1.15,2016-2017,1st,"$28,227",,,"$2,200",
University of Illinois - Urbana- Champaign (UIUC),Computer Science,"$24,000",1.09,2016-2017,3rd,"$25,000",,,"$1,000",
Brown University,Sociology ,"$27,111",1.19,2016-2017,1st,,"$24,400","$2,711",,
Indiana University,Media,"$15,000",0.70,2015-2016,2nd,,"$16,000",,"$1,000",
University of Michigan - Ann Arbor (UM),History,"$22,000",0.95,2016-2017,1st,,"$22,000",,,
Illinois Institute of Technology (IIT),physics,"$1,600",0.07,2016-2017,3rd,"$1,600",,,,
Vanderbilt University,Environmental Engineering,"$27,000",1.18,2015-2016,6th and up,"$27,500",,,$500,Required fees comprise of annual (2 semesters + summer) student activity fees. This is covered for TAs as part of the tuition payment but not for RAs paid by grants.
University of Chicago (UC),History,"$25,000",1.03,2016-2017,3rd,"$26,000",,,"$1,000",You have to pay a student life fee each quarter; but health insurance is completely covered 
Johns Hopkins University (JHU),Mechanical Engineering,"$29,750",1.16,2016-2017,1st,"$29,750",,,,Health insurance already covered. First-year departmental fellowship awards one-time bonus of $2000.
University of Southern California (USC),Clinical Science,"$30,000",1.16,2016-2017,1st,"$30,000",,,,
University of Chicago (UC),Cinema and Media Studies,"$27,000",1.11,2016-2017,1st,"$27,000",,,,
University of California - Berkeley,History,"$22,000",0.79,2016-2017,1st,,"$22,000",,,
Carnegie Mellon University (CMU),Carnegie Institute of Technology,"$30,437",1.47,2016-2017,1st,"$32,400",,,"$1,963","CIT Deans fellowship amount, does not cover Health + Dental ($1607), student activities fee ($206), or transportation fee( $150). Total listed under Required Fees."
Northwestern University (NU),Chemistry,"$36,000",1.48,2015-2016,4th,"$36,000",,,,NSF Fellowship + additional departmental pay
Cornell University (CU),Mechanical Engineering,"$33,536",1.38,2016-2017,1st,"$33,536",,,,Stipend per calendar year. Health insurance already covered by Cornell.
University of South Florida (USF),Biomedical Engineering,"$20,000",,2015-2016,3rd,"$22,000",,,"$2,000",
University of North Texas (UNT),Economics,"$8,500",0.39,2016-2017,,,"$13,000",,"$4,500",any idea about how others pay
University of North Texas (UNT),Economics,"$8,500",0.39,2016-2017,1st,,"$13,000",,"$4,500",any idea about how others pay
Purdue University - West Lafayette,Political Science,$500,0.02,2016-2017,3rd,,"$1,300",,$800,
Northwestern University (NU),Chemistry,"$32,560",1.34,2016-2017,4th,"$33,000",,,$440,Base pay was recently raised to $33000 for all chemistry PhD students.
University of Minnesota - Twin Cities (UM),sociology,"$16,300",0.71,2016-2017,,"$17,500",,,"$1,200",
George Washington University (GW),Mechanical ,"$2,200",0.07,2016-2017,1st,,"$2,200",,,
University of Pennsylvania,Criminology,"$31,100",1.29,2016-2017,1st,"$31,100",,,,"10 month stipend of $26,700 and $4,400 of summer support over July and August. Health insurance ($3000~) covered by school."
Texas A&amp;M; University - College Station,Genetics,"$24,500",,2015-2016,,"$24,500",,,,
Tufts University (TU),Chemistry,"$29,500",1.06,2016-2017,1st,"$29,500",,,,
University of Oregon (UO),Chemistry,"$25,500",1.22,2016-2017,1st,"$25,500",,,,
Wake Forest University (WFU),Psychology (MA),"$10,000",0.46,2015-2016,2nd,,"$10,000",,,10 month pay period (not 9 month)
California Institute of Technology (Caltech),chemistry,"$31,000",1.20,2016-2017,1st,"$31,000",,,,
University of North Carolina - Greensboro (UNCG),Chemistry MS,"$14,500",0.76,2014-2015,2nd,"$14,500",,,,Only half the health insurance paid for
CUNY Graduate School and University Center,Sociology,"$18,000",0.61,2015-2016,4th,"$18,000",,,,Newer cohorts receive more funding 
Tulane University (TU),Psychology,"$18,200",0.79,2016-2017,,,"$19,000",,$800,"Fees range depending on credit hours, but mandatory fees are around 400 per semester (jumps to around 800 - 100 once you're at 9+ credit hours)."
University of Chicago (UC),Institute for Molecular Engineering,"$32,680",1.35,2016-2017,1st,"$32,680",,,,"Scholarship in first quarter, then RA-ship from second quarter. IME Graduate Fellowship of extra $4000/year for the first three years brings the stipend to 36680."
University of Miami (UM),phD,"$28,000",1.18,2016-2017,1st,"$28,000",,,,
Cornell University (CU),Computer Science,"$48,600",2.27,2014-2015,4th,"$48,800",,,$200,"Cornell Tech, New York City  not Ithaca, Includes an additional part-time TA (~5,500$)"
University of California San Diego,"Ecology, Behavior, Evolution","$26,500",,2016-2017,,"$26,500",,,,
University of California - Santa Barbara (UCSB),Materials,"$30,300",1.15,2016-2017,1st,"$30,300",,,,
University of California - Berkeley,Chemistry,"$31,000",1.12,2016-2017,1st,"$31,000",,,,Includes free medical and dental
California Institute of Technology (Caltech),Chemistry,"$31,000",1.20,2016-2017,1st,"$31,000",,,,
Dalhousie University,Chemistry,"$12,000",,2015-2016,4th,"$12,000",,,,"Does not include RA or TA pay.
No external scholarships included.
Tuition and fees were all paid for by research group."
,Mechanical Engineering,"$1,500",,2016-2017,,"$1,500",,,,
University at Buffalo - SUNY,Neuroscience,"$25,600",1.22,2016-2017,2nd,"$27,500",,,"$1,900",
University of Alabama at Birmingham,Medical Sociology,"$22,000",,2016-2017,4th,"$22,000",,,,
Texas Tech University (TTU),Plant and soil science/Master's of science,"$19,800",0.98,2016-2017,2nd,"$21,000",,,"$1,200",
University of South Florida,NSF Fellowship,"$30,000",,2014-2015,,"$30,000",,,,"NSF Fellow- paid 3 times a year, when the semesters begin (Fall, Spring and Summer). The 30k is divided evenly for these 3 time periods.Tuition and fees are automatically paid."
New Mexico State University (NMSU),,"$34,000",2.01,2014-2015,2nd,"$34,000",,,,
University of Illinois - Urbana- Champaign (UIUC),Chemical Engineering,"$27,744",1.26,2015-2016,,"$27,744",,,,
Northwestern University (NU),Chemical Engineering,"$30,900",1.27,2015-2016,,"$30,900",,,,
Dartmouth College,Engineering,"$25,000",1.01,2015-2016,1st,"$25,000",,,,
University of Wisconsin - Madison (UW),Chemical Engineering,"$29,000",1.27,2015-2016,,"$29,000",,,,
University of North Carolina - Chapel Hill (UNC),Sociology,"$17,170",0.77,2015-2016,1st,"$19,170",,,"$2,000",
Clemson University (CU),Mechanical Engineering,"$16,940",0.81,2015-2016,1st,"$18,000",,,"$1,060",
University of Illinois - Chicago (UIC),Electrical Engineering,"$2,376",0.10,2015-2016,2nd,,"$1,730","$1,730","$1,084",Tuition Waived
University of Cincinnati (UC),electrical engineering,"$7,800",0.40,2015-2016,4th,,"$15,000",,"$7,200",
,,"$23,652",,2014-2015,,"$24,000",,,$348,
Boston University (BU),Neuroscience,"$31,000",1.08,2015-2016,1st,"$31,000",,,,Tuition waived
Tufts University (TU),Biology,"$29,450",1.15,2014-2015,5th,"$29,500",,,$50,
Cornell University (CU),Biomedical Engineering,"$31,925",1.32,2015-2016,4th,"$32,000",,,$75,
University of Denver (DU),Chemistry and Biochemistry,"$27,000",1.40,2012-2013,4th,"$27,000",,,,
Purdue University - West Lafayette,Mechanical Engineering,"$1,765",0.08,2015-2016,6th and up,"$2,000",,,$235,
University of Minnesota - Twin Cities (UM),,"$30,000",1.31,2015-2016,1st,"$30,000",,,,
Yale University (YU),Chemistry,"$33,150",1.34,2015-2016,6th and up,"$33,150",,,,
Arizona State University (ASU),Family & Human Development,"$22,500",1.18,2014-2015,2nd,,"$20,500","$2,000",,
Cornell University (CU),Economics,"$8,700",0.36,2015-2016,1st,"$29,500",,,"$20,800",
,,"$2,500",,2015-2016,,"$2,500",,,,
University of Maryland - College Park (UMD),Material science and engineering ,"$31,240",1.03,2015-2016,1st,"$32,000",,,$760,Don't have to pay tuition 
Meharry Medical College,Biomedical Science,"$1,900",0.10,2014-2015,4th,"$1,900",,,,
Meharry Medical College,Biomedical Science,"$2,400",0.10,2015-2016,5th,"$2,400",,,,
Meharry Medical College,Biomedical Science,"$1,800",0.09,2013-2014,3rd,"$1,800",,,,
,,"$1,800",,2014-2015,,"$1,800",,,,
University of Alabama - Birmingham (UAB),GBS-CMDB,"$29,000",1.35,2015-2016,1st,"$29,000",,,,Tuition and health insurance are also covered.
Tufts University (TU),Human Development,"$18,475",0.72,2014-2015,4th,,"$18,500",,$25,
Rensselaer Polytechnic Institute (RPI),Electrical,"$1,500",0.07,2015-2016,,"$1,500",,,,
Massachusetts Institute of Technology (MIT),Nuclear Science and Engineering,"$31,512",1.13,2015-2016,1st,"$31,512",,,,
Massachusetts Institute of Technology (MIT),31512,"$31,512",1.13,2015-2016,1st,"$31,512",,,,
University of California - Berkeley,Chemical Engineering,"$32,000",1.15,2015-2016,1st,"$32,000",,,,
University of Illinois - Urbana- Champaign (UIUC),Chemical Engineering,"$35,000",1.59,2015-2016,1st,"$35,000",,,,Stipend is via an awarded fellowship. Also received $1000 moving cost and $3000 educational allowances. Standard stipend is closer to 28k
University of Southern California (USC),Viterbi school of Engineering,"$30,000",1.16,2015-2016,1st,"$30,000",,,,
Texas A&amp;M; University - College Station,Computer Science,"$23,000",,2014-2015,1st,,"$18,000","$6,000","$1,000",It is same for all years
karlsruhe institute of technology,Chemistry ,"$1,630",,2015-2016,3rd,,"$1,780","$1,550","$1,700",
University of Florida (UF),school of natural resources and the environment ,"$18,900",0.83,2015-2016,1st,"$21,000",,,"$2,100",
Massachusetts Institute of Technology (MIT),Electrical engineering and computer science ,"$34,184",1.22,2015-2016,1st,"$34,488",,,$304,
Stony Brook University - SUNY,Computer Science,"$20,532",0.76,2013-2014,1st,,"$17,145","$4,000",$613,
Stony Brook University - SUNY,Computer Science,"$16,528",0.61,2013-2014,1st,,"$17,145",,$617,
